name,stars,sell_price,mark_price,delivery_date
"ZORBES® Desktop Monitor Stand with USB A/C Ports, Phone Stand and Mini Drawer, Support Data Transfer, Charging, Multifunction Stand Riser for Desktop, Laptop, Monitor Black  ",not available,3999,5999,"Saturday, 25 March"
"TRI-COM ® Pure Copper RJ45 Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit (Heavy Duty LD Coated PVC Outer Jacket for Outdoor, Router, 300 Meter)  ",3.9,8599,12999,"Sunday, 26 March"
Fujifilm Instax Mini Picture Format Film (20 Shots)  ,4.4,999,0,"Today, 22 March"
Dell Kb216 Wired Multimedia USB Keyboard with Super Quite Plunger Keys with Spill-Resistant  Black  ,4.3,549,1799,"Today, 22 March"
"SanDisk Ultra Dual Drive Go USB Type C Pendrive for Mobile (Black, 128 GB, 5Y - SDDDC3-128G-I35)  ",4.3,979,2800,"Today, 22 March"
"HP w100 480P 30 FPS Digital Webcam with Built-in Mic, Plug and Play Setup, Wide-Angle View for Video Calling on Skype, Zoom, Microsoft Teams and Other Apps (Black)  ",3.7,398,1999,"Today, 22 March"
HP 680 Original Ink Advantage Cartridge (Black)  ,4.2,886,0,"Today, 22 March"
"Tygot Bluetooth Extendable Selfie Sticks with Wireless Remote and Tripod Stand, 3-in-1 Multifunctional Selfie Stick with Tripod Stand Compatible with iPhone/OnePlus/Samsung/Oppo/Vivo and All Phones  ",4.1,0,0,"Today, 22 March"
"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Charcoal Grey  ",4.4,0,0,"Today, 22 March"
"Duracell USB Type C, 3A Braided Sync & Fast Charging Cable, 3.9 Ft (1.2M), QC 2.0/3.0 Ultra Fast Charging, Compatible with Samsung, One Plus & all C type devices, Seamless Data Transmission, Series 3  ",4.3,0,0,"Today, 22 March"
"Syvo WT 3130 Aluminum Tripod (133CM), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All Smart Phones, Gopro, Cameras  ",4.3,0,0,"Saturday, 25 March"
"Gizga Essentials Hard Drive Case Shell, 6.35cm/2.5-inch, Portable Storage Organizer Bag for Earphone USB Cable Power Bank Mobile Charger Digital Gadget Hard Disk, Water Resistance Material, Black  ",4.5,0,0,"Today, 22 March"
STRIFF Laptop Stand Adjustable Laptop Computer Stand Multi-Angle Stand Phone Stand Portable Foldable Laptop Riser Notebook Holder Stand Compatible for 9 to 15.6” Laptops Black(Black)  ,4.2,0,0,"Today, 22 March"
"boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Upto 8 Hours Playback, 12mm Drivers, IPX5, Magnetic Eartips, Integrated Controls and Lightweight Design with Mic (Navy Blue)  ",3.9,899,2490,"Today, 22 March"
"Regatech Compatible for Hp G62-A70SQ, G62-A70SV, G62-A74SS, G62-A75ER, G62-A75SS, G62-A80ER, G62-A80ES, G62-A82ER, G62-A83ER Laptop Keyboard Keypad  ",not available,699,2499,"Tuesday, 28 March"
Ndola Hospital Multipara Monitor Stand with Basket  ,not available,3999,9999,"Friday, 24 March"
Kathiriyas TRi-COM® Pure Copper 650MHz 100W PoE++ RJ45 UTP Molded Category 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper (CAT-5E 4 Pair 305M)  ,not available,5999,15999,"Sunday, 26 March"
Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey)  ,4.3,0,0,"Tomorrow, 23 March"
Oakter Mini UPS for 12V WiFi Router Broadband Modem | Backup Upto 4 Hours | WiFi Router UPS Power Backup During Power Cuts | UPS for 12V Router Broadband Modem | Current Surge & Deep Discharge Protection  ,4.1,1199,3490,"Today, 22 March"
"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)  ",4.0,199,499,"Today, 22 March"
