name,stars,sell_price,mark_price,delivery_date
"Nivia Super Court 2.0 Badminton Shoe for Mens | EVA & Natural Rubber Sole with Breathable mesh Upper with TPU Fusion Technology for Sports, Volleyball, Squash, Table Tennis, Non-Marking Sole  ",4.1,1799,2250,"Tomorrow, 23 March"
"ASIAN Men's Waterproof-03 Sports Running, Walking & Gym Shoes with Max Cushion Technology | Latest Casual Sneakers,Lace up Lightweight Shoes for Men's & Boy's  ",3.6,543,999,"Friday, 24 March"
"Silver's KIDS SIL-JB190 COMBO-5 Aluminum Badminton Set (2 Racquets and 3 Shuttle, White)  ",3.8,0,0,"Tomorrow, 23 March"
"Sportiva Garware HDPE Professional Badminton Net for Indoor and Outdoor (20 ft. X 2.5 ft., Black)  ",4.4,799,817,"Tomorrow, 23 March"
"Li-Ning Smash Nylon Shuttle, Pack of 6  ",3.8,297,890,"Tomorrow, 23 March"
JASPO STYLE BADMINTION SET  ,3.5,499,699,"Monday, 3 April"
YONEX Ac 402EX Synthetic Badminton Towel Grip (Multicolour) - Pack of 4  ,4.0,540,600,"Saturday, 25 March"
"APACS Z-Ziggler (38 LBS, Mega Tension) Graphite Unstrung Badminton Racquet with Full Cover  ",4.2,0,0,"Tomorrow, 23 March"
Men's Navy Blue Polyurethane Badminton Shoes - 11  ,3.8,1099,1699,"Tuesday, 4 April"
"Transform Star 2.0 Badminton Racket,Orange (Unstrung)  ",3.0,2992,3990,Data not available
Victor A170JR Junior Badminton Shoes for Kids  ,not available,0,4150,"Wednesday, 29 March"
"YOUNG Fury 7 Graphite Lightweight Professional Badminton Racket, Head Light, High Modulus Graphite, Strung, (Black/Yellow), Includes Full Cover  ",4.0,0,0,"Saturday, 25 March"
"YONEX Badminton Racquet ASTROX LITE 21I,Graphite, Black  ",4.2,1819,2990,"Saturday, 25 March"
SPORTSHOLIC® New Rajson Double Rod Badminton Racquet Pair with 10 Shuttles for Kids 4 to 8 Years for Kids  ,3.8,323,999,"Monday, 27 March"
"Li-Ning Attack Nylon Shuttle, Pack of 6  ",3.7,309,890,"Tomorrow, 23 March"
"Apacs Finapi 232 (38 LBS, Mega Tension) Graphite Unstrung Badminton Racket with Cover  ",4.1,0,0,"Tomorrow, 23 March"
Li-Ning G-TEK GX Graphite Strung Badminton Racquet with Free Racket Cover  ,3.6,0,0,"Saturday, 25 March"
StarX Kiddo Aluminum Badminton Racket Kit with 3 Corks and Cover - Badminton Complete Kit for Kids (Black Yellow)  ,3.7,0,0,"Tuesday, 4 April"
"Li-Ning Air Force 77 G2 Carbon Fiber Strung Badminton Racket with Free Full Cover(Black/Red,Pack of 1)  ",4.3,0,0,"Saturday, 25 March"
"Silver's SIL-DRIVE-COMBO-6 Aluminum Badminton racket , Multicolor  ",3.8,0,0,"Tomorrow, 23 March"
Nivia Men's Battledore Badminton Shoe for Mens (Red/Black) UK - 9  ,3.8,0,0,"Tomorrow, 23 March"
Yonex Badminton Bag SUNR 2215 BT5 Black Yellow  ,3.7,0,0,"Saturday, 25 March"
"Amazon Brand - Solimo Badminton Kit Bag, Sumo, Blue  ",4.4,0,1600,"Tomorrow, 23 March"
"Thrax PX01 Badminton Kit Bag (Blue, Black and Lime)  ",4.4,1290,2800,"Wednesday, 29 March"
Thrax Astra Series Fabric Badminton Kit Bag (Black and Blue)  ,4.5,1350,2400,"Wednesday, 29 March"
THRAX M Aello Series Badminton Kitbag Blue Lime  ,not available,1499,4400,"Wednesday, 29 March"
