celeb_id,celeb_name,profession,famous_for,img_link,profile_link
nm3053338,Margot Robbie,Actress,Suicide Squad,"https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3053338
nm6442992,Victoria Pedretti,Actress,Once Upon a Time in... Hollywood,"https://m.media-amazon.com/images/M/MV5BNzlmY2VkODEtNzgzYS00MGE5LWJmZTMtOWZlMTg2ZmQ5ODMwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6442992
nm7006860,Matilda De Angelis,Actress,L'incredibile storia dell'Isola delle Rose,"https://m.media-amazon.com/images/M/MV5BMzIzYTQ0ZDUtNjg1NC00MDg2LWExZDEtYWE0ZDcwMWU0MzFjXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",https://www.imdb.com/name/nm7006860
nm0000148,Harrison Ford,Actor,Raiders of the Lost Ark,"https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000148
nm5353321,Cara Delevingne,Actress,Suicide Squad,"https://m.media-amazon.com/images/M/MV5BM2U4NmUwODQtN2IwNC00MzE0LThmYmQtNTFlYTg0OTdjYzcxXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR11,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5353321
nm5634768,Elizabeth Lail,Actress,Countdown,"https://m.media-amazon.com/images/M/MV5BOGJhNTM0YzQtN2FiMS00YzIzLWI4YzItZDI0NzdhMDZmZjExXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5634768
nm3009232,Ezra Miller,Actor,The Perks of Being a Wallflower,"https://m.media-amazon.com/images/M/MV5BOTQ2YmNlZDEtM2EwNi00N2JhLTk3ZDktMjBmNzYwYWI1OWZmXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm3009232
nm5896355,Anya Taylor-Joy,Actress,The Queen's Gambit,"https://m.media-amazon.com/images/M/MV5BMTllYmE5YTYtZGZmYy00ZTBlLWJlODEtYWQ0ZmU1YTJkMjJlXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm5896355
nm0000409,Brendan Fraser,Actor,The Mummy,"https://m.media-amazon.com/images/M/MV5BMjA5MjExMzY0M15BMl5BanBnXkFtZTgwNTMxOTg4MTI@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000409
nm9135274,Nico Parker,Actress,Dumbo,"https://m.media-amazon.com/images/M/MV5BMTgzNTM1MDAxMV5BMl5BanBnXkFtZTgwMDM4NzcxNzM@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm9135274
nm1886602,Miles Teller,Actor,Whiplash,"https://m.media-amazon.com/images/M/MV5BM2ZiYThiZTUtYmM0ZS00ZWQzLTgzMTEtZWY1ZDkwNWM4ZGNmXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1886602
nm8908475,Isabel May,Actress,1883,"https://m.media-amazon.com/images/M/MV5BODM3MDE2YjYtZTA4Ny00OTRjLWJiOWYtYWVjNTQxZDAwYWUyXkEyXkFqcGdeQXVyNjUzMzg3MTE@._V1_UY209_CR21,0,140,209_AL_.jpg",https://www.imdb.com/name/nm8908475
nm0369513,Cole Hauser,Actor,2 Fast 2 Furious,"https://m.media-amazon.com/images/M/MV5BZWRiOTdjN2UtY2M1Yy00YzBjLWJmMzQtYTAyZGY4ZGFmZDRkXkEyXkFqcGdeQXVyNDI3NzU1NDE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0369513
nm1754059,Natalie Dormer,Actress,Game of Thrones,"https://m.media-amazon.com/images/M/MV5BNjM4NjQwMzE1Ml5BMl5BanBnXkFtZTgwNjg5MTM0NzE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1754059
nm0000138,Leonardo DiCaprio,Actor,Inception,"https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_UY209_CR7,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000138
nm6073955,Florence Pugh,Actress,The Falling,"https://m.media-amazon.com/images/M/MV5BOGM4ZGI5MTMtMTRkZC00MmM0LThmZTItNzNkZjM2MTg3N2U1XkEyXkFqcGdeQXVyNTQ1OTQ0OTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm6073955
nm1093951,Aaron Taylor-Johnson,Actor,Nocturnal Animals,"https://m.media-amazon.com/images/M/MV5BMzE5MzI0MzY2OF5BMl5BanBnXkFtZTgwODE3MTk4MTE@._V1_UY209_CR9,0,140,209_AL_.jpg",https://www.imdb.com/name/nm1093951
nm2274847,Lauren Ash,Actress,Lars and the Real Girl,"https://m.media-amazon.com/images/M/MV5BN2JmOGQ1MjEtOTdlMy00YWY2LThjZGItODlmNzkyZWQ2ZDVmXkEyXkFqcGdeQXVyMzIwMjYzOTA@._V1_UY209_CR24,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2274847
nm0001872,Steve Zahn,Actor,War for the Planet of the Apes,"https://m.media-amazon.com/images/M/MV5BMzc0MzcxMDgtMTIzNy00MmZkLTk5Y2EtYWQ1NWYzNDcyOGEzXkEyXkFqcGdeQXVyNjk1MjYyNTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0001872
nm0748620,Paul Rudd,Actor,Ant-Man,"https://m.media-amazon.com/images/M/MV5BMTY4NTEwNDg1MV5BMl5BanBnXkFtZTgwODMwMDA0ODE@._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0748620
nm0000093,Brad Pitt,Producer,Ad Astra,"https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000093
nm2125623,Bridget Regan,Actress,Jane the Virgin,"https://m.media-amazon.com/images/M/MV5BMGE2NWNkNTMtYWEyYy00Y2MyLTk4MTAtNTFmNWIyMjUzNDI0XkEyXkFqcGdeQXVyMTU3NDgwMzg@._V1_UY209_CR35,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2125623
nm0193520,Tahnee Welch,Actress,Cocoon,"https://m.media-amazon.com/images/M/MV5BMjAxODI5MzAzM15BMl5BanBnXkFtZTcwNTM0MjY5Ng@@._V1_UY209_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0193520
nm0000161,Salma Hayek,Actress,Frida,"https://m.media-amazon.com/images/M/MV5BMzkyMTk2NzM2Ml5BMl5BanBnXkFtZTcwNDQ4MjYzMg@@._V1_UY209_CR4,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000161
nm0000255,Ben Affleck,Producer,Argo,"https://m.media-amazon.com/images/M/MV5BMzczNzNiMDAtMmUzZS00MTkwLWIwOTYtNmYyNjg3MTVkNThhXkEyXkFqcGdeQXVyMjA4MjI5MTA@._V1_UY209_CR8,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0000255
nm0644406,Nick Offerman,Actor,Devs,"https://m.media-amazon.com/images/M/MV5BMTYzMjY2ODkxMV5BMl5BanBnXkFtZTgwMjQxMDA5MTE@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0644406
nm0006969,Elizabeth Banks,Actress,The Hunger Games,"https://m.media-amazon.com/images/M/MV5BY2UxNzE4YWMtNDRiMi00MzY1LTkwZjgtNzA0MjA2NTNjZjRmXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0006969
nm2581521,Austin Butler,Actor,Elvis,"https://m.media-amazon.com/images/M/MV5BYzE2YjhhYWQtNGZmYi00OWIzLTgwMTAtNWI3NWY0ZTUwOTNiXkEyXkFqcGdeQXVyNjY4MDI3NQ@@._V1_UY209_CR21,0,140,209_AL_.jpg",https://www.imdb.com/name/nm2581521
nm0488953,Brie Larson,Actress,Room,"https://m.media-amazon.com/images/M/MV5BNDE4ZWY1ZTUtYjNhMy00MTQyLWFmMjktNTkyYTFjOGRlNDk0XkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR13,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0488953
nm0005026,Kelly Hu,Actress,The Scorpion King,"https://m.media-amazon.com/images/M/MV5BMTQ4ODQ5NDMzOV5BMl5BanBnXkFtZTcwMjEzODA3MQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",https://www.imdb.com/name/nm0005026
