prof,awards,b_day,famous_for,b_place,height,parent
Actress,8 nominations,"March 28, 1961","The Foreigner,Fringe,Into the Badlands,Star Trek: Picard","Dublin, Ireland",1.63,Catherine Brady
"Actor,Producer,Director",30 wins & 37 nominations total,"July 30, 1947","Terminator 2: Judgment Day,The 6th Day,Last Action Hero,The Terminator","Thal, Styria, Austria",1.88,Aurelia Schwarzenegger
"Actor,Additional Crew,Writer",44 wins & 53 nominations total,"November 22, 1965","Hannibal,Jagten,Doctor Strange,Binge Drinking","Østerbro, Copenhagen, Denmark",3,Bente Christiansen
"Actor,Producer,Writer",8 wins & 34 nominations total,"August 26, 1980","Star Trek,Wonder Woman,Star Trek Beyond,Star Trek Into Darkness","Los Angeles, California, USA",(1.84,Robert Pine
"Actor,Producer,Director",12 wins & 12 nominations total,"October 11, 1977","In Time,The Normal Heart,Magic Mike XXL,Magic Mike","Webster Groves, Missouri, USA",(1.80,Elizabeth Macy Staton
"Actress,Producer,Soundtrack",3 wins & 15 nominations,"August 29, 1971","Watchmen,Gerald's Game,American Gangster,San Andreas","Sarasota, Florida, USA",1.65,Carl Gugino
"Actress,Soundtrack",2 wins & 14 nominations,"November 27, 1985","Scott Pilgrim vs. The World,Goon,Milk,Dan in Real Life","Toronto, Ontario, Canada",(1.69,Carl Gugino
"Additional Crew,Actress",6′ 2″ (1.88 m),,"Fierce Creatures,Clarkson's Farm,Loose Women",,,
"Actor,Producer,Director",26 wins & 88 nominations total,"June 19, 1984","There Will Be Blood,Little Miss Sunshine,12 Years a Slave,Love & Mercy","New York City, New York, USA",(1.84,Paul Dano
"Actress,Producer,Soundtrack",5 wins & 18 nominations,"December 27, 1993","Ready Player One,Me and Earl and the Dying Girl,Sound of Metal,Thoroughbreds","Oldham, Greater Manchester, England, UK",(1.66,John Cooke
"Actress,Producer,Director",3 wins & 4 nominations,"September 7, 1973","American Pie,Scary Movie,Jay and Silent Bob Reboot,Love Actually","Houston, Texas, USA",(1.78,Patricia Diane Fadal
"Actress,Director,Producer",46 wins & 107 nominations total,"May 26, 1966","Sweeney Todd: The Demon Barber of Fleet Street,Les Misérables,Fight Club,The King's Speech","Golders Green, London, England, UK",1.57,Elena Bonham Carter
Actor,2 nominations total,"March 21, 1974","Game of Thrones,Birdsong,In the Heart of the Sea,Ripper Street","Oxford, England, UK",(1.80,Richard Mawle
"Actor,Music Department,Producer",5 wins & 39 nominations total,"April 2, 1988","The Irishman,Game Night,The Power of the Dog,Battleship","Dallas, Texas, USA",(1.78,Lisa Beth Plemons (Cason)
"Actress,Producer,Script and Continuity Department",Analeigh,"November 9, 1988","Two Night Stand,Manhattan Love Story,Crazy, Stupid, Love.,Warm Bodies","Minneapolis, Minnesota, USA",(1.77,Robin Jeanne Debes
"Actress,Producer,Executive",4 wins & 12 nominations total,"March 18, 1989","The Mortal Instruments: City of Bones,Love, Rosie,Mirror Mirror,Abduction","Guildford, Surrey, England, UK",1.65,Jill Tavelman
"Actress,Producer,Director",35 wins & 89 nominations total,"November 22, 1958","Halloween,Everything Everywhere All at Once,True Lies,Halloween H20: 20 Years Later","Los Angeles, California, USA",1.70,Janet Leigh
"Actress,Producer,Director",6 wins & 31 nominations total,"March 3, 1982","The Illusionist,Total Recall,Next,The Texas Chainsaw Massacre","Ely, Minnesota, USA",1.70,Kimberly Biel (Conroe)
"Actor,Producer,Director",6 wins & 11 nominations,"August 9, 1990","It,It Chapter Two,Barbarian,Deadpool 2","Vällingby, Sweden",(1.92,Stellan Skarsgård
"Actress,Producer",4 wins & 13 nominations total,"March 2, 1989","Fast & Furious 7,Maze Runner: The Scorch Trials,Game of Thrones,Fast & Furious 9","Southend-on-Sea, Essex, England, UK",1.70,Debbie Emmanuel
"Actor,Writer,Producer",53 wins & 101 nominations total,"January 17, 1962","Eternal Sunshine of the Spotless Mind,Ace Ventura: Pet Detective,The Mask,Bruce Almighty","Newmarket, Ontario, Canada",1.88,Kathleen Carrey (Oram)
"Actress,Music Department,Producer",4 wins & 13 nominations,"August 27, 1988","Spy Kids 2: Island of Lost Dreams,Spy Kids,Spy Kids 3: Game Over,From Prada to Nada","Miami, Florida, USA",1.55,Gine Rue
"Actress,Producer,Soundtrack",4 wins & 14 nominations,"March 10, 1992","Hannah Montana: The Movie,Spy Kids 2: Island of Lost Dreams,Spy Kids 3: Game Over,Hannah Montana","Los Angeles, California, USA",1.60,Eugene Osment
"Actor,Writer,Producer",5 wins & 23 nominations total,"January 28, 1993","We're the Millers,The Maze Runner,Detroit,The Chronicles of Narnia: The Voyage of the Dawn Treader","England, UK",(1.91,Caroline Barrah
"Actress,Producer,Additional Crew",12 wins & 46 nominations total,"March 11, 1993","The Last Duel,Free Guy,Killing Eve,Star Wars: Episode IX - The Rise of Skywalker","Liverpool, Merseyside, England, UK",1.73,Donna Comer
"Actress,Director,Producer",8 wins & 27 nominations,"October 8, 1997","The Duff,Midnight Sun,Blended,Scream: The TV Series","Pembroke Pines, Florida, USA",1.73,Tamara Thorne (Beckett)
"Writer,Director,Producer",86 wins & 174 nominations total,"March 26, 1970","In Bruges,Seven Psychopaths,Three Billboards Outside Ebbing, Missouri,The Banshees of Inisherin","Camberwell, London, England, UK",1.85,Tamara Thorne (Beckett)
