tv_id,tv_name,release_year,ratings,series_type,episodes,certificate,duration,cast_id,cast_name,tagline,genre
tt0081912,Only Fools and Horses,1981,8.9,TV Series,64,12,95,"nm0419248,nm0528525,nm0516181,nm0581467,nm0149998,nm0531811,nm0668970,nm0834974,nm0390347,nm0615203,nm0668854,nm0053448,nm0372745,nm0510317,nm0176810,nm0940219,nm0961250,nm0935533","David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield,John Challis,Kenneth MacDonald,Lennard Pearce,Gwyneth Strong,Sue Holderness,Patrick Murray,Tessa Peake-Jones,Paul Barber,Roy Heather,Denis Lill,Nula Conwell,Steven Woodcock,Julie La Rousse,Michele Winstanley",No Taglines,Comedy
tt3032476,Better Call Saul,2015,8.9,TV Series,63,12,46,"nm0644022,nm0781533,nm0052186,nm0264579,nm3103126,nm0002064,nm0571106,nm0198366,nm0546797,nm0174403,nm1530474,nm0084497,nm0682999,nm0100381,nm0000893,nm1758915,nm0662669,nm7147714","Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,Michael Mando,Giancarlo Esposito,Michael McKean,Tony Dalton,Mark Margolis,Kerry Condon,Ray Campbell,Jeremiah Bitsui,Cara Pifko,Dennis Boutsikaris,Ed Begley Jr.,Josh Fadem,Tina Parker,Julian Bonfiglio",Make the call,"Crime,Drama"
tt0098769,The Civil War,1990,8.9,TV Mini Series,9,TV-14,680,"nm0567184,nm0364915,nm1263066,nm2740370,nm0178636,nm0715622,nm0318224,nm0223157,nm0724665,nm3656026,nm0001832,nm0001673,nm0000151,nm0736259,nm0445087,nm2716065,nm0007186,nm0613997","David McCullough,Julie Harris,Betsy Apple,Carol Craven,Marissa Copeland,Pamela Reed,Ronnie Gilbert,Colleen Dewhurst,LaTanya Richardson Jackson,Wendy Tilghman,Sam Waterston,Jason Robards,Morgan Freeman,Paul Roebling,Garrison Keillor,George Black,Arthur Miller,Christopher Murney",It divided a country.  It created a nation.,"Documentary,History,War"
tt2356777,True Detective,2014,8.9,TV Series,25,18,55,"nm0000681,nm0268199,nm1046097,nm2018237,nm0000190,nm0991810,nm0000437,nm0252238,nm1157358,nm0001151,nm0693446,nm0717709,nm1058940,nm0457796,nm3570321,nm1651119,nm0182662,nm0300589","Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch,Matthew McConaughey,Mahershala Ali,Woody Harrelson,Carmen Ejogo,Michelle Monaghan,Stephen Dorff,Michael Potts,Kelly Reilly,Scoot McNairy,Tory Kittles,Ray Fisher,Chris Kerson,Ritchie Coster,Sarah Gadon",Man is the cruelest animal. (Season 1),"Crime,Drama,Mystery"
tt2098220,Hunter x Hunter,2011,8.9,TV Series,148,U,24,"nm0299401,nm4751364,nm2583829,nm2540995,nm0566332,nm5213224,nm4808080,nm1328076,nm0620657,nm2233310,nm0297873,nm1142722,nm0847085,nm0031407,nm1075459,nm2616557,nm0228356,nm1035500","Issei Futamata,Megumi Han,Cristina Valenzuela,Mariya Ise,Michael McConnohie,Erica Mendez,Erika Harlacher,Miyuki Sawashiro,Daisuke Namikawa,Matthew Mercer,Keiji Fujiwara,Keith Silverstein,Wataru Takagi,Tony Oliver,Bill Rogers,Ray Chase,Ben Diskin,Kyle Hebert",No Taglines,"Animation,Action,Adventure"
tt0098904,Seinfeld,1989,8.9,TV Series,173,PG,22,"nm0000632,nm0000506,nm0724245,nm0004517,nm1131118,nm0001431,nm1752076,nm0842056,nm0364680,nm0005467,nm0792210,nm0641417,nm0551949,nm0504335,nm1995441,nm0378800,nm1519593,nm0266697","Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,Ruth Cohen,Wayne Knight,Norman Brenner,Heidi Swedberg,Estelle Harris,Jerry Stiller,Liz Sheridan,John O'Hurley,Barney Martin,Len Lesser,Deck McKenzie,Richard Herd,Peggy Lane,Richard Fancy",No Taglines,Comedy
tt7920978,Sahsiyet,2018,8.9,TV Mini Series,12,TV-MA,65,"nm0082211,nm1754048,nm6034003,nm3427444,nm1727134,nm3784534,nm1699371,nm1090197,nm5792052,nm2503061,nm3962438,nm9621861,nm9621862,nm9689696,nm0032661,nm9724544,nm0406157,nm5504560","Haluk Bilginer,Cansu Dere,Metin Akdülger,Sebnem Bozoklu,Hüseyin Avni Danyal,Necip Memili,Senay Gürler,Ayhan Kavas,Önder Selen,Ibrahim Selim,Firat Topkorur,Recep Usta,Rabia Soyturk,Alptekin Ertürk,Müjde Ar,Yusufcan Sancakli,Hümeyra,Volkan Uygun",No Taglines,"Crime,Drama,Mystery"
tt10541088,Clarkson's Farm,2021,8.9,TV Series,17,15,45,"nm0165087,nm12586877,nm12586875,nm0389571,nm12591974,nm12634601,nm12635025,nm7147494,nm9385681,nm13274511,nm12825092,nm0443201","Jeremy Clarkson,Kaleb Cooper,Charlie Ireland,Lisa Hogan,Gerald Cooper,Kevin Harrison,Ellen Helliwell,Alan Townsend,Simon Strong,Georgia Craig,Dave Clay,Vernon Kay",No Taglines,"Documentary,Comedy,Reality-TV"
tt0092337,Dekalog,1989,8.9,TV Mini Series,10,15,572,"nm0054007,nm0525557,nm0523821,nm0054270,nm0417370,nm0532536,nm0856227,nm0310702,nm0475009,nm0686133,nm0843796,nm0053017,nm0646037,nm0843772,nm0836136,nm0048121,nm0081322,nm0087787","Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko,Aleksander Bardini,Krystyna Janda,Piotr Machalica,Jan Tesarz,Stanislaw Gawlik,Krzysztof Kumor,Katarzyna Piwowarczyk,Maciej Szary,Henryk Baranowski,Daniel Olbrychski,Grazyna Szapolowska,Jerzy Stuhr,Miroslaw Baka,Adrianna Biedrzynska,Ewa Blaszczyk",No Taglines,Drama
tt9735318,The Beatles: Get Back,2021,8.9,TV Mini Series,3,15,468,"nm1397313,nm0006168,nm0005200,nm0365600,nm0823592,nm0263006,nm0512327,nm0648780,nm0424316,nm0552326,nm0565371,nm5254590,nm0725072,nm0840379,nm8876241,nm0039679,nm0640645,nm0696383","The Beatles,John Lennon,Paul McCartney,George Harrison,Ringo Starr,Mal Evans,Michael Lindsay-Hogg,Yoko Ono,Glyn Johns,George Martin,Linda McCartney,Kevin Harrington,Anthony B. Richmond,Peter Sutton,Dave Harries,Neil Aspinall,Denis O'Dell,Billy Preston",Experience the 3-part event,"Documentary,Biography,Music"
tt2802850,Fargo,2014,8.9,TV Series,42,15,53,"nm0000671,nm0293509,nm2798112,nm0004988,nm2341751,nm0940158,nm0542668,nm0000379,nm0000191,nm0001674,nm0933940,nm4689420,nm2976580,nm0687146,nm0935541,nm0005403,nm0000667,nm0001101","Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,Russell Harvard,Bokeem Woodbine,Brad Mann,Kirsten Dunst,Ewan McGregor,Chris Rock,Patrick Wilson,Carrie Coon,Jessie Buckley,Jesse Plemons,Mary Elizabeth Winstead,Jason Schwartzman,David Thewlis,Ted Danson","Aw jeez, here we go again. (Season 1)","Crime,Drama,Thriller"
tt0213338,Cowboy Bebop,1998,8.9,TV Series,26,12,24,"nm0945290,nm0411167,nm0370677,nm0089707,nm0082507,nm0138233,nm0283253,nm0157120,nm0153100,nm0846248,nm0619904,nm0850757,nm0619179,nm0015320,nm0386264,nm0340582,nm0620383,nm0875320","Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum,Beau Billingslea,Kevin Seymour,Wendee Lee,Isshin Chiba,Melissa Fahn,Aoi Tada,Hiroshi Naka,Tsutomu Tareki,Miki Nagasawa,Toshihiko Nakajima,Jin Hirao,Skip Stellrecht,Kazuhiro Nakata,Shinpachi Tsuji",See You Space Cowboy... (ending tagline),"Animation,Action,Adventure"
tt2297757,Nathan for You,2013,8.8,TV Series,32,Not Rated,30,"nm2358709,nm5739144,nm7099551,nm6662095,nm6637563,nm9462983,nm9462871,nm1960813,nm6646366,nm9414153,nm9462874,nm5221528,nm3318790,nm7091276,nm9584910,nm9272027,nm0071304,nm5693095","Nathan Fielder,Anthony Filosa,Salomon Flores,William Heath,Brian S. Wolfe,Simon Kellog,James Bailey,Tony Napoli,Sue Stanford,Cornelius Ladd,Kyle Heitz,Billy Smalling,Marcos Mateo Ochoa,Andy Farshidian,Jason Stone,Corey Calderwood,H. Jon Benjamin,Jennifer Anderton",No Taglines,"Documentary,Comedy"
tt1865718,Gravity Falls,2012,8.8,TV Series,40,PG,23,"nm0728762,nm3229215,nm1102891,nm0004802,nm0724656,nm1480095,nm1312566,nm0224007,nm1584992,nm0177639,nm0877203,nm2837934,nm1554206,nm0287182,nm0048389,nm2554352,nm0217221,nm3006131","Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini,Kevin Michael Richardson,Matt Chapman,Kari Wahlgren,John DiMaggio,Keith Ferguson,Jennifer Coolidge,Gregg Turkington,Carl Faruolo,Niki Yang,Will Forte,Dee Bradley Baker,T.J. Miller,Grey Griffin,Thurop Van Orman",Just West of Weird.,"Animation,Action,Adventure"
tt7137906,When They See Us,2019,8.8,TV Mini Series,4,15,296,"nm10040186,nm4144312,nm5376232,nm2532658,nm1750371,nm3954896,nm0000491,nm0621788,nm0235336,nm0931324,nm7851611,nm0254712,nm0005031,nm0137230,nm0006669,nm1323822,nm10246696,nm0102726","Asante Blackk,Caleel Harris,Ethan Herisse,Marquis Rodriguez,Marsha Stephanie Blake,Kylie Bunbury,John Leguizamo,Niecy Nash,Suzzanne Douglas,Michael Kenneth Williams,Jharrel Jerome,Aunjanue Ellis,Felicity Huffman,Len Cariou,William Sadler,Adepero Oduye,Alexandra Templer,Denia Brache",What if all boys were created equal?,"Biography,Crime,Drama"
